feature,importance
"Cuisines_Continental, Beverages, Desserts, Fast Food",0.0
"Cuisines_North Indian, Bengali, Chinese, Odia",0.0
"Cuisines_North Indian, Kebab, Biryani",0.0
"Cuisines_North Indian, South Indian, Chinese, Desserts",0.0
"Cuisines_Pizza, Continental, Fast Food",0.0
"Cuisines_Rolls, Lebanese",0.0
"Cuisines_Cafe, Fast Food, Beverages",0.0
"Cuisines_Biryani, Mughlai, Kebab",0.0
"Cuisines_Beverages, Ice Cream",0.0
"Cuisines_North Indian, Afghan, Lebanese",0.0
"Cuisines_South Indian, Continental, Fast Food",0.0
"Cuisines_North Indian, Asian, Biryani, Chinese",0.0
"Cuisines_European, Italian, Pizza, Fast Food",0.0
"Cuisines_Fast Food, Tea, Beverages",0.0
"Cuisines_Fast Food, Italian, Chinese, Desserts, Beverages",0.0
"Cuisines_Chinese, North Indian, Maharashtrian",0.0
"Cuisines_Desserts, Ice Cream, Beverages",0.0
"Cuisines_North Indian, Mithai, Fast Food, South Indian, Chinese",0.0
"Cuisines_Chinese, Momos",0.0
"Cuisines_Momos, Rolls",0.0
"Cuisines_Fast Food, Healthy Food, Sandwich, Salad",0.0
"Cuisines_Cafe, Desserts, Fast Food, Beverages",0.0
"Cuisines_North Indian, Chinese, Street Food, Fast Food",0.0
"Cuisines_Biryani, Mughlai, Chinese, Seafood",0.0
"Cuisines_South Indian, Fast Food, North Indian",0.0
"Cuisines_South Indian, Fast Food, Desserts",0.0
"Cuisines_Mughlai, North Indian, Rolls",0.0
"Cuisines_Asian, Continental, North Indian",0.0
"Cuisines_Ice Cream, Desserts, Beverages",0.0
"Cuisines_Beverages, Fast Food, Ice Cream",0.0
Cuisines_Mangalorean,0.0
"Cuisines_Fast Food, Italian, Chinese",0.0
"Cuisines_Ice Cream, Desserts, Fast Food",0.0
"Cuisines_Chinese, Continental, Italian, Healthy Food, Asian, North Indian, Pizza, Desserts",0.0
"Cuisines_North Indian, Mughlai, Chinese, Biryani, Rolls",0.0
"Cuisines_Biryani, North Indian, Chinese, Kebab",0.0
"Cuisines_Finger Food, Salad, Continental, Italian, Sandwich",0.0
"Cuisines_Chinese, Biryani, North Indian",0.0
"Cuisines_South Indian, Street Food, Fast Food",0.0
"Cuisines_Chinese, Thai, Continental",0.0
"Cuisines_Italian, North Indian, Chinese",0.0
"Cuisines_North Indian, South Indian, Chinese, Beverages",0.0
"Cuisines_Cafe, Italian, North Indian, Chinese",0.0
"Cuisines_North Indian, Thai, Goan, Mughlai, Seafood",0.0
"Cuisines_North Indian, Mughlai, Kebab",0.0
"Cuisines_Desserts, South Indian",0.0
"Cuisines_Chinese, Healthy Food",0.0
